begin,end,reason
2016-01-01,2016-01-03,元旦
2016-02-07,2016-02-13,春节
2016-04-02,2016-04-03,清明节
2016-04-30,2016-05-02,劳动节
2016-06-09,2016-06-11,端午节
2016-09-15,2016-09-17,中秋节
2016-10-01,2016-10-07,国庆节
2017-01-01,2017-01-02,元旦
2017-01-27,2017-02-02,春节
2017-04-02,2017-04-04,清明节
2017-04-29,2017-05-01,劳动节
2017-05-28,2017-05-30,端午节
2017-10-01,2017-10-08,中秋节国庆节
2018-01-01,2018-01-01,元旦
2018-02-15,2018-02-21,春节
2018-04-05,2018-04-07,清明节
2018-04-29,2018-05-01,劳动节
2018-06-18,2018-06-18,端午节
2018-09-24,2018-09-24,中秋节
2018-10-01,2018-10-07,国庆节
2018-12-30,2019-01-01,元旦
2019-02-04,2019-02-10,春节
2019-04-05,2019-04-05,清明节
2019-05-01,2019-05-01,劳动节
2019-06-07,2019-06-07,端午节
2019-09-13,2019-09-13,中秋节
2019-10-01,2019-10-07,国庆节
2020-01-01,2020-01-01,元旦
2020-01-24,2020-01-30,春节
2020-04-04,2020-04-06,清明节
2020-05-01,2020-05-05,劳动节
2020-06-25,2020-06-27,端午节
2020-10-01,2020-10-08,中秋节国庆节
